resident_id,fsa_context,source_da,area,HID,person_uid,sex,age_group,education_level,labour_force_status,household_income,family_status,household_size,household_type,inferred_schedule_type,code_agegrp,code_lfact,code_totinc,code_hhtype,source_synpop_file
H1V-P5,H1V,24661921,24661921,62,H1V-P5,Female,65-69 years,University credential,Not in labour force,"< $20,000",One-person household context,1,One-parent household,More daytime presence likely,10,2,0,2,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1W-P1,H1W,24662049,24662049,248,H1W-P1,Male,75-79 years,University credential,Not in labour force,"$60,000-$99,999",One-person household context,2,One-person household,More daytime presence likely,12,2,2,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1W-P2,H1W,24661757,24661757,42,H1W-P2,Male,60-64 years,No certificate / high school or less,Not in labour force,"< $20,000",One-person household context,4,Other household,More daytime presence likely,9,2,0,4,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1W-P3,H1W,24661765,24661765,112,H1W-P3,Female,60-64 years,University credential,Employed,"$20,000-$59,999",Lone-parent or child context,2,Couple without children,Structured workday / smaller household,9,0,1,0,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1W-P4,H1W,24661753,24661753,64,H1W-P4,Female,50-54 years,Trades or college credential,Not in labour force,"$20,000-$59,999",One-person household context,5+,Couple without children,More daytime presence likely,7,2,1,0,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1W-P5,H1W,24661751,24661751,118,H1W-P5,Male,65-69 years,Trades or college credential,Employed,"$20,000-$59,999",One-person household context,1,One-person household,Structured workday / smaller household,10,0,1,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1X-P1,H1X,24662035,24662035,205,H1X-P1,Male,Age group 15,University credential,Not in labour force,"$60,000-$99,999",One-person household context,1,One-person household,More daytime presence likely,15,2,2,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1X-P2,H1X,24661670,24661670,36,H1X-P2,Female,25-34 years,No certificate / high school or less,Unemployed,"$60,000-$99,999",One-person household context,4,Other household,Variable schedule / employment transition,3,1,2,4,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1X-P3,H1X,24661672,24661672,46,H1X-P3,Male,50-54 years,University credential,Not in labour force,"< $20,000",One-person household context,3,Couple without children,More daytime presence likely,7,2,0,0,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1X-P4,H1X,24661671,24661671,176,H1X-P4,Male,60-64 years,No certificate / high school or less,Employed,"$20,000-$59,999",One-person household context,4,One-person household,Mixed schedule,9,0,1,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1X-P5,H1X,24662042,24662042,90,H1X-P5,Male,65-69 years,Trades or college credential,Not in labour force,"$60,000-$99,999",One-person household context,3,One-parent household,More daytime presence likely,10,2,2,2,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1Y-P1,H1Y,24661986,24661986,135,H1Y-P1,Female,45-49 years,No certificate / high school or less,Unemployed,"$20,000-$59,999",One-person household context,4,Couple without children,Variable schedule / employment transition,6,1,1,0,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1Y-P2,H1Y,24662019,24662019,1,H1Y-P2,Female,65-69 years,University credential,Not in labour force,"$60,000-$99,999",One-person household context,5+,Couple with children,More daytime presence likely,10,2,2,1,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1Y-P3,H1Y,24661984,24661984,51,H1Y-P3,Female,50-54 years,Trades or college credential,Not in labour force,"$100,000+",One-person household context,3,Other household,More daytime presence likely,7,2,3,4,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1Y-P4,H1Y,24662024,24662024,1701,H1Y-P4,Female,50-54 years,University credential,Employed,"$100,000+",One-person household context,1,One-person household,Structured workday / smaller household,7,0,3,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1Y-P5,H1Y,24662024,24662024,418,H1Y-P5,Male,65-69 years,University credential,Employed,"< $20,000",One-person household context,4,Couple without children,Mixed schedule,10,0,0,0,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1Z-P1,H1Z,24660412,24660412,88,H1Z-P1,Female,55-59 years,Trades or college credential,Employed,"$20,000-$59,999",One-person household context,5+,Other household,Structured workday / family household,8,0,1,4,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1Z-P2,H1Z,24662635,24662635,167,H1Z-P2,Male,70-74 years,University credential,Employed,"$20,000-$59,999",Couple family context,4,One-person household,Mixed schedule,11,0,1,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1Z-P3,H1Z,24660409,24660409,237,H1Z-P3,Male,40-44 years,University credential,Employed,"$20,000-$59,999",Non-family household context,3,One-person household,Structured workday / smaller household,5,0,1,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1Z-P4,H1Z,24662631,24662631,180,H1Z-P4,Female,Age group 15,No certificate / high school or less,Unemployed,"$20,000-$59,999",One-person household context,1,One-person household,Variable schedule / employment transition,15,1,1,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H1Z-P5,H1Z,24660332,24660332,45,H1Z-P5,Male,55-59 years,University credential,Employed,"$20,000-$59,999",One-person household context,3,Other household,Structured workday / smaller household,8,0,1,4,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2A-P1,H2A,24660363,24660363,20,H2A-P1,Male,75-79 years,No certificate / high school or less,Employed,"$20,000-$59,999",Couple family context,3,Other household,Structured workday / smaller household,12,0,1,4,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2A-P2,H2A,24661488,24661488,68,H2A-P2,Male,60-64 years,University credential,Unemployed,"$20,000-$59,999",One-person household context,2,Couple without children,Variable schedule / employment transition,9,1,1,0,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2A-P3,H2A,24660248,24660248,33,H2A-P3,Male,40-44 years,University credential,Employed,"$100,000+",One-person household context,3,Other household,Structured workday / smaller household,5,0,3,4,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2A-P4,H2A,24660250,24660250,171,H2A-P4,Male,70-74 years,University credential,Unemployed,"$20,000-$59,999",One-person household context,2,One-person household,Variable schedule / employment transition,11,1,1,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2A-P5,H2A,24660246,24660246,143,H2A-P5,Female,Age group 16,University credential,Not in labour force,"$20,000-$59,999",One-person household context,1,One-parent household,More daytime presence likely,16,2,1,2,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2B-P1,H2B,24662703,24662703,82,H2B-P1,Female,Age group 17,University credential,Not in labour force,"$20,000-$59,999",One-person household context,5+,One-parent household,More daytime presence likely,17,2,1,2,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2B-P2,H2B,24662676,24662676,61,H2B-P2,Male,60-64 years,Trades or college credential,Unemployed,"$20,000-$59,999",One-person household context,4,Other household,Variable schedule / employment transition,9,1,1,4,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2B-P3,H2B,24662979,24662979,121,H2B-P3,Male,85+ years,University credential,Unemployed,"$20,000-$59,999",One-person household context,5+,One-parent household,Variable schedule / employment transition,14,1,1,2,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2B-P4,H2B,24662977,24662977,177,H2B-P4,Female,80-84 years,University credential,Employed,"$20,000-$59,999",One-person household context,4,One-person household,Mixed schedule,13,0,1,3,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2B-P5,H2B,24662703,24662703,4,H2B-P5,Male,45-49 years,Trades or college credential,Employed,"$20,000-$59,999",One-person household context,1,Couple with children,Structured workday / smaller household,6,0,1,1,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2C-P1,H2C,24662656,24662656,44,H2C-P1,Male,45-49 years,No certificate / high school or less,Employed,"$60,000-$99,999",One-person household context,3,Other household,Structured workday / smaller household,6,0,2,4,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2C-P2,H2C,24662577,24662577,101,H2C-P2,Male,35-39 years,University credential,Not in labour force,"$60,000-$99,999",One-person household context,3,One-parent household,More daytime presence likely,4,2,2,2,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2C-P3,H2C,24662660,24662660,109,H2C-P3,Female,60-64 years,No certificate / high school or less,Employed,"$20,000-$59,999",Couple family context,2,One-parent household,Structured workday / smaller household,9,0,1,2,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2C-P4,H2C,24662578,24662578,40,H2C-P4,Male,Age group 17,Trades or college credential,Unemployed,"$100,000+",One-person household context,2,Couple with children,Variable schedule / employment transition,17,1,3,1,syn_inds_with_hh_montreal_p24_seed42_all.parquet
H2C-P5,H2C,24662582,24662582,111,H2C-P5,Female,55-59 years,No certificate / high school or less,Not in labour force,"< $20,000",Couple family context,3,One-parent household,More daytime presence likely,8,2,0,2,syn_inds_with_hh_montreal_p24_seed42_all.parquet
